timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
320,-0.39499995,-0.7,-1.1580565,0.0279,14.0,45.314285,0.0,124.0,1586.0,322.0,1.0,168.65067,30.0,80,17,9,11,9,11,8,10,14,13
321,-0.40500003,-0.7,-1.1680418,0.0281,14.0,47.2,0.0,142.0,1652.0,322.0,1.0,169.82893,70.0,80,17,9,11,12,11,9,10,11,13
322,-0.40000004,-0.7,-1.163917,0.028,14.0,44.857143,0.0,70.0,1570.0,322.0,1.0,169.3422,50.0,85,17,12,11,10,11,12,10,10,13
323,-0.42000002,-0.7,-1.170378,0.0284,14.0,45.857143,0.0,91.0,1605.0,322.0,1.0,170.1046,30.0,82,17,8,11,8,11,8,10,13,13
324,1.0,-0.7,-1.1578192,0.0176,14.0,45.514286,0.0,30.0,1593.0,322.0,1.0,168.62267,30.0,76,17,7,11,11,11,9,10,11,13
325,-0.41000003,-0.7,-1.1669091,0.0282,14.0,44.085712,0.0,112.0,1543.0,322.0,1.0,169.69527,50.0,84,17,11,11,11,11,11,10,10,13
326,-0.41000003,-0.7,-1.146452,0.0282,14.0,46.771427,0.0,107.0,1637.0,323.0,1.0,167.28133,50.0,83,17,10,11,8,11,8,10,13,13
327,-0.39499995,-0.7,-1.1555339,0.0279,14.0,49.028572,0.0,77.0,1716.0,322.0,1.0,168.353,90.0,76,17,8,11,12,11,9,10,11,13
328,-0.42000002,-0.7,-1.1681322,0.0284,14.0,48.028572,0.0,122.0,1681.0,322.0,1.0,169.8396,30.0,79,17,12,11,12,11,13,10,10,13
329,-0.425,-0.7,-1.1439238,0.0285,14.0,47.4,0.0,53.0,1659.0,322.0,1.0,166.983,90.0,83,17,11,11,9,11,9,10,14,13
330,-0.41000003,-0.7,-1.1688553,0.0282,14.0,48.771427,0.0,134.0,1707.0,322.0,1.0,169.92493,70.0,76,17,9,11,11,11,9,10,12,13
331,-0.41500002,-0.7,-1.1623079,0.0283,14.0,48.114285,0.0,110.0,1684.0,323.0,1.0,169.15233,30.0,77,17,13,11,13,11,14,10,11,13
332,-0.40500003,-0.7,-1.161534,0.0281,14.0,48.657143,0.0,118.0,1703.0,322.0,1.0,169.061,90.0,83,17,12,11,10,11,10,10,14,13
333,-0.38499996,-0.7,-1.1642836,0.0277,14.0,49.114285,0.0,128.0,1719.0,322.0,1.0,169.38547,90.0,81,17,9,11,11,11,9,10,13,13
334,-0.43499997,-0.7,-1.1845841,0.0287,14.0,46.142857,0.0,130.0,1615.0,322.0,1.0,171.78093,70.0,81,17,11,11,10,11,10,10,12,13
335,-0.41500002,-0.7,-1.1773763,0.0283,14.0,46.085712,0.0,82.0,1613.0,324.0,1.0,170.9304,90.0,80,17,10,11,11,11,10,10,11,13
336,-0.425,-0.7,-1.1761062,0.0285,14.0,46.914288,0.0,88.0,1642.0,322.0,1.0,170.78053,10.0,80,17,11,11,11,11,11,10,11,13
337,-0.40000004,-0.7,-1.1662034,0.028,14.0,47.057144,0.0,132.0,1647.0,322.0,1.0,169.612,30.0,80,17,10,11,9,11,10,10,13,13
338,-0.41500002,-0.7,-1.1692684,0.0283,14.0,48.514286,0.0,124.0,1698.0,322.0,1.0,169.97366,30.0,82,17,10,11,11,11,10,10,10,13
339,-0.42000002,-0.7,-1.1862887,0.0284,14.0,47.714287,0.0,113.0,1670.0,322.0,1.0,171.98207,90.0,80,17,11,11,11,11,10,10,11,13
340,1.0,-0.7,-1.1705927,0.0149,14.0,46.657143,0.0,25.0,1633.0,322.0,1.0,170.12993,10.0,78,17,10,11,10,11,11,10,13,13
341,-0.41500002,-0.7,-1.1811277,0.0283,14.0,48.314285,0.0,59.0,1691.0,322.0,1.0,171.37306,30.0,81,17,10,11,11,11,10,10,11,13
342,-0.41000003,-0.7,-1.1865711,0.0282,14.0,48.714287,0.0,95.0,1705.0,322.0,1.0,172.0154,70.0,80,17,10,11,11,11,10,10,11,13
343,-0.41000003,-0.7,-1.1794294,0.0282,14.0,48.657143,0.0,133.0,1703.0,322.0,1.0,171.17267,10.0,80,17,10,11,11,11,11,10,14,13
344,-0.42000002,-0.7,-1.1809282,0.0284,14.0,48.485714,0.0,124.0,1697.0,322.0,1.0,171.34953,90.0,80,17,10,11,11,11,10,10,10,13
345,-0.39499995,-0.7,-1.1893504,0.0279,14.0,46.2,0.0,108.0,1617.0,322.0,1.0,172.34334,70.0,79,17,10,11,11,11,11,10,10,13
346,1.0,-0.7,-1.1820972,0.0165,14.0,45.514286,0.0,28.0,1593.0,322.0,1.0,171.48747,30.0,77,17,11,11,10,11,11,10,13,13
347,-0.44499996,-0.7,-1.1938548,0.0289,14.0,47.885715,0.0,106.0,1676.0,322.0,1.0,172.87486,30.0,83,17,10,11,11,11,10,10,10,13
348,-0.425,-0.7,-1.1875288,0.0285,14.0,45.914288,0.0,61.0,1607.0,322.0,1.0,172.1284,10.0,78,17,11,11,11,11,11,10,9,13
349,-0.40000004,-0.7,-1.1767017,0.028,14.0,47.857143,0.0,110.0,1675.0,322.0,1.0,170.8508,50.0,75,17,9,11,10,11,10,10,13,13
350,-0.39499995,-0.7,-1.1725373,0.0279,14.0,47.085712,0.0,135.0,1648.0,323.0,1.0,170.3594,90.0,84,17,8,11,10,11,9,10,10,13
351,-0.42000002,-0.7,-1.169639,0.0284,14.0,46.4,0.0,188.0,1624.0,322.0,1.0,170.0174,50.0,81,17,13,11,10,11,10,10,10,13
352,-0.38999996,-0.7,-1.1856384,0.0278,14.0,46.857143,0.0,107.0,1640.0,322.0,1.0,171.90533,70.0,76,17,10,11,10,11,10,10,14,13
353,-0.40500003,-0.7,-1.1639113,0.0281,14.0,48.114285,0.0,80.0,1684.0,322.0,1.0,169.34154,90.0,81,17,9,11,10,11,10,10,11,13
354,1.0,-0.7,-1.1707073,0.0159,14.0,49.142857,0.0,27.0,1720.0,322.0,1.0,170.14346,70.0,81,17,13,11,10,11,10,10,10,13
355,-0.41000003,-0.7,-1.1774062,0.0282,14.0,47.514286,0.0,90.0,1663.0,322.0,1.0,170.93393,90.0,76,17,10,11,11,11,9,10,13,13
356,-0.43499997,-0.7,-1.1787667,0.0287,14.0,50.0,0.0,54.0,1750.0,322.0,1.0,171.09447,30.0,77,17,9,11,11,11,11,10,12,13
357,1.0,-0.7,-1.1595684,0.0102,14.0,48.057144,0.0,16.0,1682.0,322.0,1.0,168.82907,10.0,79,17,14,11,10,11,13,10,10,13
358,1.0,-0.7,-1.1759622,0.0085,14.0,49.057144,0.0,13.0,1717.0,322.0,1.0,170.76353,10.0,58,17,11,11,11,11,9,10,14,13
359,1.0,-0.7,-1.1476266,0.0074,14.0,46.771427,0.0,11.0,1637.0,322.0,1.0,167.41994,90.0,50,17,8,11,10,11,10,10,12,13
360,1.0,-0.7,-1.147257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,80,17,12,11,12,11,13,10,10,13
361,-5.685,-0.2,-0.12501255,0.1337,4.0,188.5,0.0,37.0,1885.0,89.0,1.0,46.75148,30.0,7,17,13,11,11,10,1,10,15,13
362,1.0,-0.7,-0.9218904,0.0056,14.0,33.82857,0.0,4.0,1184.0,298.0,1.0,140.78307,10.0,19,17,7,11,4,11,6,10,10,13
363,-0.07500003,-0.85,-0.92398137,0.0215,17.0,28.329412,0.0,39.0,1204.0,364.0,1.0,141.0298,30.0,86,17,4,11,9,11,5,10,8,13
364,-0.21499999,-0.85,-0.99418706,0.0243,17.0,22.235294,0.0,128.0,945.0,373.0,1.0,149.31407,90.0,88,17,4,11,6,11,5,10,5,13
365,-0.2,-0.85,-1.0267068,0.024,17.0,25.058823,0.0,61.0,1065.0,374.0,1.0,153.1514,50.0,93,17,5,11,4,11,3,10,6,13
366,1.0,-0.85,-0.9756463,0.0088,17.0,19.529411,0.0,16.0,830.0,375.0,1.0,147.12627,90.0,90,17,3,11,4,11,3,10,7,13
367,1.0,-0.85,-1.0103238,0.0071,17.0,23.905882,0.0,12.0,1016.0,375.0,1.0,151.2182,10.0,67,17,3,11,5,11,4,10,3,13
368,1.0,-0.85,-1.0377045,0.011,17.0,23.835295,0.0,21.0,1013.0,375.0,1.0,154.44913,10.0,88,17,4,11,4,11,3,10,5,13
369,1.0,-0.85,-0.9961424,0.0114,17.0,38.0,0.0,22.0,1615.0,375.0,1.0,149.5448,30.0,87,17,3,11,6,11,3,10,5,13
370,-0.205,-0.85,-1.00344,0.0241,17.0,36.89412,0.0,118.0,1568.0,375.0,1.0,150.40593,10.0,90,17,6,11,8,11,7,10,4,13
371,-0.19000003,-0.85,-1.0245237,0.0238,17.0,38.14118,0.0,59.0,1621.0,375.0,1.0,152.8938,90.0,89,17,7,11,7,11,7,10,6,13
372,-0.205,-0.85,-1.0479859,0.0241,17.0,41.57647,0.0,56.0,1767.0,375.0,1.0,155.66234,50.0,87,17,6,11,9,11,6,10,8,13
373,-0.13500002,-0.85,-0.9694955,0.0227,17.0,34.32941,0.0,104.0,1459.0,375.0,1.0,146.40047,10.0,88,17,7,11,11,11,9,10,6,13
374,1.0,-0.85,-1.0144367,0.0083,17.0,43.10588,0.0,16.0,1832.0,375.0,1.0,151.70354,30.0,83,17,8,11,11,11,9,10,8,13
375,1.0,-0.85,-1.0897526,0.0068,17.0,46.82353,0.0,11.0,1990.0,375.0,1.0,160.5908,90.0,56,17,9,11,15,11,10,10,12,13
376,-0.18500003,-0.85,-1.1221073,0.0237,17.0,47.6,0.0,75.0,2023.0,375.0,1.0,164.40866,90.0,84,17,13,11,17,11,13,10,11,13
377,-0.19000003,-0.85,-1.1745423,0.0238,17.0,49.411766,0.0,118.0,2100.0,375.0,1.0,170.596,90.0,83,17,12,11,13,11,10,10,12,13
378,-0.205,-0.85,-1.2093487,0.0241,17.0,49.623528,0.0,116.0,2109.0,375.0,1.0,174.70314,90.0,83,17,10,11,13,11,9,10,16,13
379,1.0,-0.85,-1.1727892,0.0103,17.0,49.035294,0.0,20.0,2084.0,378.0,1.0,170.38913,70.0,78,17,12,11,17,11,12,10,11,13
380,-0.18500003,-0.85,-1.2258722,0.0237,17.0,51.741177,0.0,110.0,2199.0,376.0,1.0,176.65291,10.0,82,17,13,11,12,11,11,10,12,13
381,-0.19000003,-0.85,-1.2466677,0.0238,17.0,48.44706,0.0,123.0,2059.0,375.0,1.0,179.1068,30.0,83,17,9,11,11,11,9,10,12,13
382,1.0,-0.85,-1.2421899,0.0136,17.0,49.10588,0.0,26.0,2087.0,376.0,1.0,178.5784,10.0,79,17,12,11,17,11,13,10,12,13
383,-0.205,-0.85,-1.2400237,0.0241,17.0,49.505882,0.0,115.0,2104.0,376.0,1.0,178.3228,70.0,81,17,14,11,12,11,11,10,12,13
