timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
105,-0.56500006,-1.65,-1.4731909,0.0313,33.0,51.890907,0.0,109.0,4281.0,722.0,1.0,205.83653,30.0,65,10,<unknown>,<unknown>,28,5,27,4
106,1.0,-2.2,-1.7519519,0.0185,44.0,66.76363,0.0,16.0,5508.0,721.0,1.0,238.73033,70.0,38,10,<unknown>,<unknown>,35,5,38,4
107,-0.39499998,-2.2,-1.3253051,0.0279,44.0,36.2,0.0,121.0,3982.0,952.0,1.0,188.386,10.0,75,10,<unknown>,<unknown>,26,6,28,5
108,-0.39499998,-2.2,-1.3491588,0.0279,44.0,35.68182,0.0,84.0,3925.0,954.0,1.0,191.20073,10.0,74,10,<unknown>,<unknown>,26,6,29,5
109,-0.37500003,-2.2,-1.3099514,0.0275,44.0,33.954544,0.0,82.0,3735.0,952.0,1.0,186.57426,50.0,77,10,<unknown>,<unknown>,23,6,24,5
110,1.0,-2.2,-1.8185192,0.0145,44.0,49.063637,0.0,8.0,5397.0,953.0,1.0,246.58527,30.0,9,10,<unknown>,<unknown>,35,6,34,5
111,1.0,-2.2,-1.5584209,0.019,44.0,38.936363,0.0,22.0,4283.0,953.0,1.0,215.89366,90.0,61,10,<unknown>,<unknown>,29,6,27,5
112,1.0,-2.2,-1.7116209,0.0162,44.0,37.51818,0.0,13.0,4127.0,952.0,1.0,233.97127,70.0,41,10,<unknown>,<unknown>,27,6,27,5
113,1.0,-2.2,-1.641087,0.0183,44.0,33.01818,0.0,20.0,3632.0,952.0,1.0,225.64827,10.0,64,10,<unknown>,<unknown>,24,6,24,5
114,-0.38000003,-2.2,-1.340396,0.0276,44.0,24.463636,0.0,70.0,2691.0,952.0,1.0,190.16673,50.0,80,10,<unknown>,<unknown>,18,6,18,5
