timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
101,-0.40500006,-2.1000001,-1.5025436,0.0281,42.0,38.761906,0.0,54.0,4070.0,901.0,1.0,209.30014,30.0,78,9,<unknown>,<unknown>,27,5,26,4
102,-0.41000006,-2.1000001,-1.4403847,0.0282,42.0,39.32381,0.0,103.0,4129.0,903.0,1.0,201.9654,50.0,71,9,<unknown>,<unknown>,27,5,30,4
103,-0.41500005,-2.1000001,-1.4999373,0.0283,42.0,39.180954,0.0,114.0,4114.0,903.0,1.0,208.9926,10.0,70,9,<unknown>,<unknown>,25,5,21,4
104,-0.40500006,-1.65,-1.5168717,0.0281,33.0,38.29524,0.0,118.0,4021.0,904.0,1.0,210.99086,70.0,76,9,<unknown>,<unknown>,26,5,25,4
105,-0.56,-1.65,-1.628695,0.0312,33.0,50.266666,0.0,109.0,4147.0,715.0,1.0,224.186,30.0,68,9,<unknown>,<unknown>,28,5,32,4
106,1.0,-2.15,-1.9063513,0.0188,43.0,64.70303,0.0,16.0,5338.0,713.0,1.0,256.94946,70.0,40,9,<unknown>,<unknown>,35,5,30,4
107,-0.40500006,-2.15,-1.4621924,0.0281,43.0,35.516277,0.0,121.0,3818.0,924.0,1.0,204.53871,10.0,78,9,<unknown>,<unknown>,24,5,23,4
108,-0.40500006,-2.15,-1.505769,0.0281,43.0,33.76744,0.0,84.0,3630.0,922.0,1.0,209.68074,10.0,75,9,<unknown>,<unknown>,24,5,30,4
109,-0.40000007,-2.15,-1.4706576,0.028,43.0,32.52093,0.0,82.0,3496.0,924.0,1.0,205.5376,50.0,71,9,<unknown>,<unknown>,24,5,21,5
110,1.0,-2.15,-1.9275588,0.0148,43.0,46.455814,0.0,8.0,4994.0,923.0,1.0,259.45193,30.0,10,9,<unknown>,<unknown>,33,5,36,5
111,1.0,-2.15,-1.6394418,0.0193,43.0,36.837208,0.0,22.0,3960.0,923.0,1.0,225.45413,90.0,61,9,<unknown>,<unknown>,28,5,31,5
112,1.0,-2.15,-1.6852542,0.0164,43.0,38.865116,0.0,13.0,4178.0,924.0,1.0,230.86,70.0,39,9,<unknown>,<unknown>,26,5,25,5
113,1.0,-2.15,-1.6158215,0.0186,43.0,32.632557,0.0,20.0,3508.0,922.0,1.0,222.66693,10.0,67,9,<unknown>,<unknown>,21,5,21,4
114,-0.39499998,-2.15,-1.37547,0.0279,43.0,23.888372,0.0,70.0,2568.0,923.0,1.0,194.30547,50.0,83,9,<unknown>,<unknown>,17,5,20,4
115,-0.09000003,-2.15,-1.4817944,0.0218,43.0,29.172092,0.0,30.0,3136.0,923.0,1.0,206.85173,50.0,69,9,<unknown>,<unknown>,20,5,20,4
116,-0.22999999,-2.15,-1.478547,0.0246,43.0,28.288372,0.0,39.0,3041.0,923.0,1.0,206.46854,90.0,83,9,<unknown>,<unknown>,17,5,14,4
117,-0.40000007,-2.15,-1.3711984,0.028,43.0,26.530233,0.0,74.0,2852.0,923.0,1.0,193.8014,50.0,84,9,<unknown>,<unknown>,17,5,17,4
118,-0.44,-1.9,-1.450461,0.0288,38.0,28.073685,0.0,59.0,2667.0,818.0,1.0,203.1544,10.0,77,9,<unknown>,<unknown>,18,5,17,4
119,-0.51000005,-1.75,-1.4258012,0.0302,35.0,35.85143,0.0,136.0,3137.0,756.0,1.0,200.24454,10.0,77,9,<unknown>,<unknown>,18,5,20,4
120,-0.53000003,-1.7,-1.4858859,0.0306,34.0,34.505882,0.0,109.0,2933.0,734.0,1.0,207.33453,10.0,77,9,<unknown>,<unknown>,24,5,20,4
121,-0.535,-1.7,-1.5022066,0.0307,34.0,36.376472,0.0,56.0,3092.0,735.0,1.0,209.26038,70.0,77,9,<unknown>,<unknown>,17,5,17,4
122,-0.54,-1.7,-1.4873677,0.0308,34.0,33.75294,0.0,74.0,2869.0,738.0,1.0,207.5094,70.0,78,9,<unknown>,<unknown>,16,5,19,4
123,-0.55,-1.7,-1.5181265,0.031,34.0,33.8,0.0,57.0,2873.0,739.0,1.0,211.13893,30.0,77,9,<unknown>,<unknown>,24,5,19,4
124,-0.535,-1.7,-1.5010384,0.0307,34.0,32.55294,0.0,99.0,2767.0,736.0,1.0,209.12253,70.0,78,9,<unknown>,<unknown>,19,5,17,4
125,-0.53000003,-1.7,-1.512296,0.0306,34.0,33.91765,0.0,59.0,2883.0,741.0,1.0,210.45093,70.0,78,9,<unknown>,<unknown>,15,5,17,4
126,-0.535,-1.7,-1.5033137,0.0307,34.0,33.870586,0.0,59.0,2879.0,739.0,1.0,209.391,30.0,78,9,<unknown>,<unknown>,20,5,18,4
127,-0.36000004,-1.7,-1.5738294,0.0272,34.0,38.729412,0.0,40.0,3292.0,741.0,1.0,217.71187,10.0,77,9,<unknown>,<unknown>,20,5,18,4
128,-0.535,-1.7,-1.5268912,0.0307,34.0,36.764706,0.0,52.0,3125.0,739.0,1.0,212.17317,90.0,77,9,<unknown>,<unknown>,14,5,19,4
129,-0.56500006,-1.7,-1.5009542,0.0313,34.0,40.058823,0.0,77.0,3405.0,740.0,1.0,209.1126,30.0,76,9,<unknown>,<unknown>,21,5,19,4
130,-0.55,-1.7,-1.546427,0.031,34.0,40.847057,0.0,82.0,3472.0,740.0,1.0,214.4784,10.0,77,9,<unknown>,<unknown>,21,5,19,4
131,-0.555,-1.7,-1.5036712,0.0311,34.0,41.64706,0.0,61.0,3540.0,741.0,1.0,209.4332,30.0,76,9,<unknown>,<unknown>,22,5,20,4
132,-0.51500005,-1.7,-1.5711926,0.0303,34.0,43.22353,0.0,49.0,3674.0,745.0,1.0,217.40073,50.0,76,9,<unknown>,<unknown>,22,5,21,4
133,-0.52500004,-1.7,-1.5065265,0.0305,34.0,46.152943,0.0,103.0,3923.0,744.0,1.0,209.77013,90.0,75,9,<unknown>,<unknown>,23,5,20,4
134,-0.545,-1.7,-1.5726627,0.0309,34.0,47.8,0.0,75.0,4063.0,745.0,1.0,217.5742,70.0,75,9,<unknown>,<unknown>,23,5,30,4
135,-0.555,-1.7,-1.5416424,0.0311,34.0,47.611763,0.0,100.0,4047.0,745.0,1.0,213.9138,10.0,75,9,<unknown>,<unknown>,25,5,29,4
136,-0.56500006,-1.7,-1.5933508,0.0313,34.0,48.14118,0.0,115.0,4092.0,745.0,1.0,220.0154,10.0,74,9,<unknown>,<unknown>,25,5,22,4
137,-0.535,-1.7,-1.5158215,0.0307,34.0,48.235294,0.0,70.0,4100.0,745.0,1.0,210.86693,90.0,72,9,<unknown>,<unknown>,26,5,28,4
138,-0.535,-1.7,-1.5212492,0.0307,34.0,48.435295,0.0,56.0,4117.0,745.0,1.0,211.5074,30.0,72,9,<unknown>,<unknown>,27,5,30,4
139,-0.545,-1.7,-1.5301678,0.0309,34.0,48.32941,0.0,54.0,4108.0,744.0,1.0,212.5598,90.0,72,9,<unknown>,<unknown>,27,5,22,4
140,-0.535,-1.7,-1.5459305,0.0307,34.0,47.77647,0.0,144.0,4061.0,747.0,1.0,214.4198,90.0,65,9,<unknown>,<unknown>,25,5,25,4
141,-0.555,-1.7,-1.5522909,0.0311,34.0,48.188236,0.0,66.0,4096.0,745.0,1.0,215.17033,50.0,72,9,<unknown>,<unknown>,27,5,33,4
142,-0.535,-1.7,-1.5273825,0.0307,34.0,46.341175,0.0,139.0,3939.0,747.0,1.0,212.23114,70.0,78,9,<unknown>,<unknown>,26,5,22,4
143,-0.555,-1.7,-1.5871594,0.0311,34.0,45.52941,0.0,135.0,3870.0,745.0,1.0,219.2848,10.0,67,9,<unknown>,<unknown>,25,5,22,4
144,-0.545,-1.7,-1.518514,0.0309,34.0,46.44706,0.0,120.0,3948.0,747.0,1.0,211.18466,50.0,73,9,<unknown>,<unknown>,25,5,32,4
145,1.0,-2.15,-1.9700408,0.0154,43.0,62.682354,0.0,9.0,5328.0,746.0,1.0,264.4648,70.0,11,9,<unknown>,<unknown>,35,5,34,4
146,-0.40500006,-2.15,-1.4894079,0.0281,43.0,32.613953,0.0,133.0,3506.0,935.0,1.0,207.75014,30.0,74,9,<unknown>,<unknown>,24,5,19,4
